Index,Property Prices,Longitude,Latitude,Size,Floor,Highest floor,Units,Parking,Heating,Year,Delentropy,Delentropy_d,Dist. Green,Dist. Water,Dist. Subway,Bust Stop,Dist. CBD,Top Univ.,High School,Sex Ratio,Population,Pop. Density,Higher Degree,Young Population,Median Age,Old Population,Spring,Fall,Winter
732,10.16969059,127.470424,36.28276,101.4,19,24,713,1.34,0,2011,7.028438402,,6.042602457,6.493810187,8.52158269,4,10921.97207,2,3,100.5642923,21681,430.1785714,21.4754008,16.28153683,40,16.36917116,0,0,1
732,10.2327913,127.470424,36.28276,101.4,11,24,713,1.34,0,2011,7.028438402,,6.042602457,6.493810187,8.52158269,4,10921.97207,2,3,100.5642923,21681,430.1785714,21.4754008,16.28153683,40,16.36917116,0,0,1
3520,10.1266311,127.317071,36.372531,84.65,12,15,182,1.2,0,2006,7.19939078,,4.430959898,6.573530306,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3517,10.1266311,127.317071,36.372531,84.65,12,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.573530306,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3519,10.1266311,127.317071,36.372531,84.65,12,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.573530306,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3520,10.1266311,127.317071,36.372531,84.65,10,15,182,1.2,0,2006,7.19939078,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3517,10.1266311,127.317071,36.372531,84.65,10,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3519,10.1266311,127.317071,36.372531,84.65,10,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3520,10.0647557,127.317071,36.372531,84.65,15,15,182,1.2,0,2006,7.19939078,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3517,10.0647557,127.317071,36.372531,84.65,15,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3519,10.0647557,127.317071,36.372531,84.65,15,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3520,10.16585182,127.317071,36.372531,84.65,13,15,182,1.2,0,2006,7.19939078,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3517,10.16585182,127.317071,36.372531,84.65,13,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3519,10.16585182,127.317071,36.372531,84.65,13,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3520,9.952277717,127.317071,36.372531,84.65,13,15,182,1.2,0,2006,7.19939078,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3517,9.952277717,127.317071,36.372531,84.65,13,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3519,9.952277717,127.317071,36.372531,84.65,13,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3520,10.1064284,127.317071,36.372531,84.65,5,15,182,1.2,0,2006,7.19939078,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3517,10.1064284,127.317071,36.372531,84.65,5,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3519,10.1064284,127.317071,36.372531,84.65,5,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3520,10.20359214,127.317071,36.372531,84.65,9,15,182,1.2,0,2006,7.19939078,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3517,10.20359214,127.317071,36.372531,84.65,9,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3519,10.20359214,127.317071,36.372531,84.65,9,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3520,10.18490001,127.317071,36.372531,84.65,14,15,182,1.2,0,2006,7.19939078,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3517,10.18490001,127.317071,36.372531,84.65,14,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3519,10.18490001,127.317071,36.372531,84.65,14,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3521,10.0604913,127.317071,36.372531,111.18,4,15,182,1.2,0,2006,7.978542941,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3522,10.0604913,127.317071,36.372531,111.18,4,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3521,10.30895266,127.317071,36.372531,111.18,9,15,182,1.2,0,2006,7.978542941,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3522,10.30895266,127.317071,36.372531,111.18,9,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3521,10.27505111,127.317071,36.372531,111.18,10,15,182,1.2,0,2006,7.978542941,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3522,10.27505111,127.317071,36.372531,111.18,10,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3521,10.20359214,127.317071,36.372531,111.18,7,15,182,1.2,0,2006,7.978542941,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3522,10.20359214,127.317071,36.372531,111.18,7,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3521,10.35774282,127.317071,36.372531,111.18,12,15,182,1.2,0,2006,7.978542941,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3522,10.35774282,127.317071,36.372531,111.18,12,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3521,10.33201793,127.317071,36.372531,111.18,15,15,182,1.2,0,2006,7.978542941,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3522,10.33201793,127.317071,36.372531,111.18,15,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3521,10.34174248,127.317071,36.372531,111.18,11,15,182,1.2,0,2006,7.978542941,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3522,10.34174248,127.317071,36.372531,111.18,11,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3516,10.02127059,127.317071,36.372531,83.89,12,15,182,1.2,0,2006,7.267635799,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3518,10.02127059,127.317071,36.372531,83.89,12,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3516,10.03451581,127.317071,36.372531,83.89,14,15,182,1.2,0,2006,7.267635799,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3518,10.03451581,127.317071,36.372531,83.89,14,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3524,10.34174248,127.317071,36.372531,118.94,13,15,182,1.2,0,2006,7.890715348,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3523,10.34174248,127.317071,36.372531,118.94,13,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3524,10.37349118,127.317071,36.372531,118.94,14,15,182,1.2,0,2006,7.890715348,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3523,10.37349118,127.317071,36.372531,118.94,14,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3524,10.2646524,127.317071,36.372531,118.94,11,15,182,1.2,0,2006,7.890715348,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3523,10.2646524,127.317071,36.372531,118.94,11,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3524,10.27505111,127.317071,36.372531,118.94,4,15,182,1.2,0,2006,7.890715348,,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3523,10.27505111,127.317071,36.372531,118.94,4,15,182,1.2,0,2006,7.093581491,2.296222984,4.430959898,6.835042355,5.518294361,4,7112.276629,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3527,9.642122788,127.316855,36.375594,58.62,7,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3527,9.609116492,127.316855,36.375594,58.62,12,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3527,9.680344001,127.316855,36.375594,58.62,10,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3529,9.560997244,127.316855,36.375594,59.98,7,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3529,9.60238246,127.316855,36.375594,59.98,14,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3529,9.564512186,127.316855,36.375594,59.98,9,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3529,9.588776808,127.316855,36.375594,59.98,5,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3529,9.560997244,127.316855,36.375594,59.98,7,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3529,9.581903928,127.316855,36.375594,59.98,13,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3529,9.578449694,127.316855,36.375594,59.98,8,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3529,9.60238246,127.316855,36.375594,59.98,8,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3529,9.574983486,127.316855,36.375594,59.98,6,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3529,9.680344001,127.316855,36.375594,59.98,10,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3529,9.60238246,127.316855,36.375594,59.98,13,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3529,9.305650552,127.316855,36.375594,59.98,5,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3529,9.674074388,127.316855,36.375594,59.98,7,15,251,1,0,2004,7.348248287,,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3528,9.61580548,127.316855,36.375594,59.88,12,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3528,9.60238246,127.316855,36.375594,59.88,12,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3528,9.574983486,127.316855,36.375594,59.88,5,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
